agency,site,date_time,flow,comments
USGS,paw,2019-07-02T04:00:00Z,5430,
USGS,por,2019-06-01T04:00:00Z,8190,
USGS,por,2019-06-03T04:00:00Z,7970,
USGS,por,2019-06-04T04:00:00Z,8430,
USGS,por,2019-06-05T04:00:00Z,7330,
USGS,por,2019-06-06T04:00:00Z,6870,
USGS,por,2019-06-07T04:00:00Z,6470,
USGS,por,2019-06-08T04:00:00Z,6310,
USGS,por,2019-06-09T04:00:00Z,6300,
USGS,por,2019-06-10T04:00:00Z,6160,
USGS,por,2019-06-11T04:00:00Z,6100,
USGS,por,2019-06-12T04:00:00Z,6540,
USGS,por,2019-06-13T04:00:00Z,7980,
USGS,por,2019-06-14T04:00:00Z,8040,
USGS,por,2019-06-15T04:00:00Z,6940,
USGS,por,2019-06-16T04:00:00Z,6280,
USGS,por,2019-06-17T04:00:00Z,5980,
USGS,por,2019-06-18T04:00:00Z,5620,
USGS,por,2019-06-19T04:00:00Z,5550,
USGS,por,2019-06-20T04:00:00Z,5550,
USGS,por,2019-06-21T04:00:00Z,5230,
USGS,por,2019-06-22T04:00:00Z,6700,
USGS,por,2019-06-23T04:00:00Z,6300,
USGS,por,2019-06-24T04:00:00Z,5510,
USGS,por,2019-06-25T04:00:00Z,5330,
USGS,por,2019-06-26T04:00:00Z,5370,
USGS,por,2019-06-27T04:00:00Z,6040,
USGS,por,2019-06-28T04:00:00Z,6460,
USGS,por,2019-06-29T04:00:00Z,5910,
USGS,por,2019-06-30T04:00:00Z,5490,
USGS,por,2019-07-01T04:00:00Z,5040,
USGS,por,2019-07-02T04:00:00Z,6510,
USGS,shepherdstown,2019-06-01T04:00:00Z,5200,
USGS,shepherdstown,2019-06-02T04:00:00Z,4830,
USGS,shepherdstown,2019-06-03T04:00:00Z,5720,
USGS,shepherdstown,2019-06-04T04:00:00Z,5090,
USGS,shepherdstown,2019-06-05T04:00:00Z,4630,
USGS,shepherdstown,2019-06-06T04:00:00Z,4280,
USGS,shepherdstown,2019-06-07T04:00:00Z,3980,
USGS,shepherdstown,2019-06-08T04:00:00Z,4090,
USGS,shepherdstown,2019-06-09T04:00:00Z,3970,
USGS,shepherdstown,2019-06-10T04:00:00Z,3630,
USGS,shepherdstown,2019-06-11T04:00:00Z,3630,
USGS,shepherdstown,2019-06-12T04:00:00Z,3990,
USGS,shepherdstown,2019-06-13T04:00:00Z,4630,
USGS,shepherdstown,2019-06-14T04:00:00Z,4740,
USGS,shepherdstown,2019-06-15T04:00:00Z,4040,
USGS,shepherdstown,2019-06-16T04:00:00Z,3750,
USGS,shepherdstown,2019-06-17T04:00:00Z,3550,
USGS,shepherdstown,2019-06-18T04:00:00Z,3380,
USGS,shepherdstown,2019-06-19T04:00:00Z,3480,
USGS,shepherdstown,2019-06-20T04:00:00Z,3370,
USGS,shepherdstown,2019-06-21T04:00:00Z,3830,
USGS,shepherdstown,2019-06-22T04:00:00Z,5020,
USGS,shepherdstown,2019-06-23T04:00:00Z,4110,
USGS,shepherdstown,2019-06-24T04:00:00Z,3490,
USGS,shepherdstown,2019-06-25T04:00:00Z,3340,
USGS,shepherdstown,2019-06-26T04:00:00Z,3300,
USGS,shepherdstown,2019-06-27T04:00:00Z,3670,
USGS,shepherdstown,2019-06-28T04:00:00Z,3920,
USGS,shepherdstown,2019-06-29T04:00:00Z,3540,
USGS,shepherdstown,2019-06-30T04:00:00Z,3340,
